ACTION_TYPE,SHOT_MADE,STREAKS
Step Back Jump shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,False,0.0
Jump Shot,False,0.0
Pullup Jump shot,True,1.0
Running Jump Shot,False,0.0
Jump Shot,False,0.0
Jump Shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,True,3.0
Pullup Jump shot,False,0.0
Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,False,0.0
Fadeaway Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Pullup Jump shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Bank Jump Shot,True,2.0
Step Back Jump shot,True,3.0
Step Back Jump shot,True,4.0
Step Back Jump shot,False,0.0
Step Back Bank Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Pullup Jump shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,False,0.0
Jump Shot,True,1.0
Pullup Jump shot,False,0.0
Pullup Jump shot,True,1.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Turnaround Fadeaway Bank Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,False,0.0
Pullup Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Bank Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Pullup Jump shot,True,3.0
Step Back Jump shot,True,4.0
Running Pull-Up Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Running Pull-Up Jump Shot,False,0.0
Turnaround Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,False,0.0
Running Pull-Up Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,True,2.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,True,3.0
Step Back Jump shot,False,0.0
Jump Shot,True,1.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Jump Shot,True,1.0
Pullup Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,False,0.0
Step Back Bank Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Fadeaway Jump Shot,False,0.0
Fadeaway Jump Shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,True,2.0
Step Back Jump shot,False,0.0
Pullup Jump shot,True,1.0
Step Back Jump shot,False,0.0
Fadeaway Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Pullup Jump shot,False,0.0
Fadeaway Jump Shot,True,1.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,True,2.0
Step Back Jump shot,True,3.0
Step Back Jump shot,True,4.0
Pullup Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,True,1.0
Running Pull-Up Jump Shot,True,2.0
Pullup Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,True,1.0
Pullup Jump shot,False,0.0
Step Back Jump shot,True,1.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Jump Shot,False,0.0
Jump Shot,True,1.0
Step Back Jump shot,True,2.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Pullup Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Pullup Jump shot,False,0.0
Pullup Jump shot,True,1.0
Jump Shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
Step Back Jump shot,False,0.0
